Frame,Biomass (µm²)
0,50376.365000000005
1,0.0
2,52355.355
3,3.8025
4,6.760000000000001
5,4.2250000000000005
6,51897.787500000006
7,40043.2825
8,0.0
9,43253.43750000001
10,55886.61000000001
11,0.42250000000000004
12,9.717500000000001
13,0.0
14,60298.777500000004
15,45652.3925
16,0.0
17,0.0
18,46412.8925
19,410657.74750000006
20,8.027500000000002
21,9.717500000000001
22,332142.03750000003
23,53604.68750000001
24,0.0
25,64792.06500000001
26,0.0
27,55418.902500000004
28,57832.2225
29,58362.46000000001
30,53416.2525
31,54879.7925
32,6.760000000000001
33,4.2250000000000005
34,1.6900000000000002
35,43863.950000000004
36,410657.74750000006
37,54561.22750000001
38,7.182500000000001
